Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Jack Leiter","VAN",21,11,4,2.1272727272727274,18,18,2,1,0,110,430,48,30,26,14,45,11,4,1,179,"Jack Leiter","30146",683004
"Kumar Rocker","VAN",21,14,4,2.7295081967213113,20,20,1,0,0,122,490,75,43,37,8,39,7,13,2,179,"Kumar Rocker","31843",677958
"Andrew Abbott","UVA",22,9,6,2.8687500683963316,19,17,0,0,0,106.2,433,89,39,34,13,32,5,5,2,162,"Andrew Abbott","29911",671096
"Brendan Beck","STAN",22,9,3,3.1472393374586827,17,15,2,1,0,108.2,438,81,44,38,11,26,2,10,0,143,"Brendan Beck","sa3020680",694341
"Doug Nikhazy","MISS",21,12,2,2.4456521739130435,16,15,1,1,0,92,372,62,30,25,11,31,6,3,0,142,"Doug Nikhazy","30142",680951
"Will Bednar","MSST",21,9,1,3.119133488097112,19,16,0,0,0,92.1,375,72,35,32,12,26,8,2,1,139,"Will Bednar","sa3017844",687218
"Nick Sinacola","ME",21,9,3,2.0420167412632297,12,12,5,1,0,79.1,319,59,20,18,4,23,4,4,0,139,"Nick Sinacola","sa3017862",701161
"Ty Madden","TEX",21,7,5,2.4545455094624518,18,18,1,1,0,113.2,453,75,37,31,7,44,5,4,0,137,"Ty Madden","30140",680744
"Dom Hamel","DBU",22,13,2,4.221818298945155,18,16,0,0,1,91.2,377,68,44,43,16,34,5,11,0,136,"Dom Hamel","sa3017949",687589
"Kevin Kopps","ARK",24,12,1,0.9033457505278109,33,1,0,0,11,89.2,332,50,9,9,5,18,1,3,0,131,"Kevin Kopps","sa3017005",667434
"Gavin Williams","ECU",21,10,1,1.8811474821638676,15,12,1,1,1,81.1,330,57,18,17,3,21,10,8,1,130,"Gavin Williams","30122",668909
"Austin Love","UNC",22,10,4,3.7058823529411766,17,16,2,0,0,102,418,85,45,42,9,32,2,20,0,129,"Austin Love","sa3017609",676153
"Rodney Boone","UCSB",21,11,4,2.311643775217663,16,16,1,1,0,97.1,382,55,33,25,9,39,2,6,1,128,"Rodney Boone","sa3018107",674868
"Ben Casparius","CONN",22,8,5,4.025454657133752,15,15,1,1,0,91.2,385,68,43,41,7,36,10,7,2,127,"Ben Casparius","30085",676508
"Hunter Stanley","USM",23,6,4,2.5588235294117645,16,15,1,0,0,102,398,74,34,29,16,19,2,2,0,127,"Hunter Stanley","sa3018148",701533
"Parker Messick","FSU",20,8,2,3.1,16,16,0,0,0,90,385,81,38,31,6,23,10,2,1,126,"Parker Messick","sa3020748",800048
"Chayce McDermott","BALL",22,8,2,3.0483871905538247,15,15,2,0,0,82.2,345,59,30,28,5,36,10,4,0,125,"Chayce McDermott","29866",694646
"Andrew Taylor","CMU",19,11,4,1.8127207991874128,15,15,5,2,0,94.1,368,64,21,19,4,24,2,5,0,125,"Andrew Taylor","sa3020873",800063
"Matt Mikulski","FOR",22,9,0,1.448780433886256,11,11,5,2,0,68.1,262,29,11,11,3,27,7,4,0,124,"Matt Mikulski","sa3017874",694392
"Chad Dallas","TENN",21,11,2,4.194174757281553,17,17,0,0,0,103,426,95,52,48,21,20,8,5,0,122,"Chad Dallas","sa3018180",689149
"Mason Miller","GWEB",22,8,1,3.302158364005284,15,14,0,0,0,92.2,396,73,39,34,6,30,12,11,0,121,"Mason Miller","31757",695243
"Will Dion","MCN",21,9,4,3.070234192053605,17,16,5,2,1,99.2,400,79,39,34,4,19,6,4,0,121,"Will Dion","sa3017850",702021
