name,team,age,nameascii,playerid,mlbamid,year,w,l,era,g,gs,cg,sho,sv,ip,tbf,h,r,er,hr,bb,hbp,wp,bk,so,k/9,bb/9,k/bb,hr/9,k%,bb%,k-bb%,avg,whip,babip,lob%,fip,e-f
Gordon Graceffo,VILL,21.0,Gordon Graceffo,29519,700669.0,2021,7,2,1.5365853658536586,11,11,2,1,0,82.0,325,66,24,14,0,13,5,5,0,86,9.439024390243905,1.4268292682926829,6.61538462,0.0,0.26461538,0.04,0.22461538,0.21498371,0.9634146341463414,0.29864253,0.71428571,2.2425525293117623,-0.7059671634581037
Patrick Monteverde,TTU,23.0,Patrick Monteverde,29564,687287.0,2021,7,4,3.752895642346249,16,16,0,0,0,86.1,359,79,43,36,10,21,3,8,0,101,10.528957218804754,2.189189124701979,4.80952381,1.042471011762847,0.28133705,0.05849582,0.22284123,0.2358209,1.158301124180941,0.30803571,0.6741573,3.687751483917237,0.0651441584290126
Alek Jacob,GONZ,23.0,Alek Jacob,29628,689690.0,2021,8,1,2.5214008530613303,17,11,2,2,3,85.2,340,60,25,24,3,18,8,5,0,112,11.766537314286207,1.8910506397959976,6.22222222,0.3151751066326663,0.32941176,0.05294118,0.27647059,0.1910828,0.9105058636054804,0.28643216,0.74572127,2.5413724676933063,-0.0199716146319759
Matt Svanson,LEH,22.0,Matt Svanson,29629,694335.0,2021,4,4,2.303317452261054,13,12,0,0,0,70.1,311,60,30,18,2,24,12,6,0,65,8.317535244276028,3.071089936348072,2.70833333,0.2559241613623393,0.20900322,0.07717042,0.1318328,0.21818182,1.1943127530242503,0.27884615,0.70815451,4.365784026977683,-2.0624665747166286
Andrew Hoffmann,ILL,21.0,Andrew Hoffmann,29633,694851.0,2021,3,0,2.8723403672494205,11,11,0,0,0,62.2,258,49,23,20,3,15,3,5,0,64,9.191489175198146,2.154255275437065,4.26666667,0.430851055087413,0.24806202,0.05813953,0.18992248,0.20416667,1.021276575022016,0.26589595,0.70063694,3.252615795916915,-0.3802754286674945
Sam Bachman,M-OH,21.0,Sam Bachman,29754,696147.0,2021,4,4,1.810055827347402,12,12,1,0,0,59.2,227,29,15,12,1,17,6,7,0,93,14.027932661942367,2.5642457554088196,5.47058824,0.1508379856122835,0.40969163,0.07488987,0.33480176,0.14215686,0.7709497042405602,0.25454545,0.7312253,2.464059540796903,-0.6540037134495009
Mason Montgomery,TTU,21.0,Mason Montgomery,29770,682254.0,2021,5,3,3.816753850472458,14,13,0,0,0,63.2,260,48,29,27,8,27,2,1,0,84,11.87434531258098,3.816753850472458,3.11111111,1.1308900297696172,0.32307692,0.10384615,0.21923077,0.20779221,1.1780104476766846,0.28776978,0.72948328,4.049008021204753,-0.2322541707322951
Robert Gasser,HOU,22.0,Robert Gasser,29812,688107.0,2021,6,6,2.6264592219388856,14,14,0,0,0,85.2,356,67,30,25,5,25,14,1,2,105,11.03112873214332,2.6264592219388856,4.2,0.5252918443877771,0.29494382,0.07022472,0.2247191,0.21135647,1.0739299929705666,0.29951691,0.76767677,3.450423202756644,-0.8239639808177586
Ky Bush,SMC,21.0,Ky Bush,29823,681066.0,2021,7,5,2.987233945571122,14,14,0,0,0,78.1,323,69,31,26,3,19,4,6,0,112,12.868084688614063,2.182978652532743,5.89473684,0.344680839873591,0.34674923,0.05882353,0.2879257,0.23,1.1234042188472595,0.35675676,0.69476082,2.309548726373259,0.6776852191978633
Jackson Wolf,WVU,22.0,Jackson Wolf,29832,680232.0,2021,6,5,3.033707865168539,14,14,1,0,0,89.0,376,66,39,30,4,37,7,5,0,104,10.51685393258427,3.741573033707865,2.81081081,0.4044943820224719,0.27659574,0.09840426,0.17819149,0.19879518,1.1573033707865168,0.27678571,0.68007663,3.418088562568922,-0.3843806974003829
Bryce Miller,TA&M,22.0,Bryce Miller,29837,682243.0,2021,3,2,4.447058723740102,13,10,0,0,0,56.2,264,48,34,28,8,37,13,6,0,70,11.117646809350251,5.876470456370848,1.89189189,1.2705882067828862,0.26515152,0.14015152,0.125,0.22429907,1.4999999663409072,0.29411765,0.73732719,5.640234795474678,-1.1931760717345758
Emmet Sheehan,BC,21.0,Emmet Sheehan,29839,686218.0,2021,5,5,4.22608709670646,13,13,0,0,0,76.2,333,63,39,36,7,34,13,2,0,106,12.443478673635688,3.991304480222768,3.11764706,0.8217391576929227,0.31831832,0.1021021,0.21621622,0.22027972,1.2652174332732302,0.32369942,0.70858283,3.9008043044005545,0.3252827923059058
Chayce McDermott,BALL,22.0,Chayce McDermott,29866,694646.0,2021,8,2,3.0483871905538247,15,15,2,0,0,82.2,345,59,30,28,5,36,10,4,0,125,13.608871386401004,3.919354959283489,3.47222222,0.5443548554560401,0.36231884,0.10434783,0.25797101,0.19732441,1.1491935837405292,0.31952663,0.76530612,3.6385278588403143,-0.59014066828649
Michael McGreevy,UCSB,20.0,Michael McGreevy,29869,700241.0,2021,9,2,2.921311548484716,16,16,1,1,0,101.2,425,109,41,33,6,11,10,4,0,115,10.180328123507344,0.973770516161572,10.45454545,0.5311475542699483,0.27058824,0.02588235,0.24470588,0.26980198,1.180327898377663,0.3639576,0.73190789,3.163028652931342,-0.2417171044466259
Sean Burke,MD,21.0,Sean Burke,29878,680732.0,2021,6,3,3.2690581841213695,14,13,0,0,0,74.1,319,48,33,27,6,42,4,8,0,107,12.955156507443943,5.085201619744352,2.54761905,0.7264573742491932,0.3354232,0.13166144,0.20376176,0.17582418,1.210762290415322,0.2625,0.71261682,3.838032251557977,-0.5689740674366073
Andrew Abbott,UVA,22.0,Andrew Abbott,29911,671096.0,2021,9,6,2.8687500683963316,19,17,0,0,0,106.2,433,89,39,34,13,32,5,5,2,162,13.668750325888404,2.7000000643730178,5.0625,1.0968750261515383,0.37413395,0.073903,0.30023095,0.22474747,1.134375027045608,0.3438914,0.80705009,3.227434720695019,-0.3586846522986873
Spencer Arrighetti,UL,21.0,Spencer Arrighetti,29921,681293.0,2021,7,6,3.1195220071715704,16,13,0,0,2,83.2,356,69,33,29,3,29,11,10,0,91,9.788844919055617,3.1195220071715704,3.13793103,0.3227091731556797,0.25561798,0.08146067,0.1741573,0.21835443,1.1713147766391336,0.2972973,0.72519084,3.4672691641606055,-0.3477471569890351
Dylan Dodd,SEMO,23.0,Dylan Dodd,29928,689266.0,2021,9,2,3.1655173246585537,15,15,0,0,0,96.2,400,85,40,34,10,17,5,9,1,120,11.17241408703019,1.5827586623292769,7.05882353,0.9310345072525158,0.3,0.0425,0.2575,0.22486772,1.0551724415528512,0.30241935,0.72043011,3.58009988639641,-0.4145825617378564
Grant Holman,CAL,21.0,Grant Holman,30002,680880.0,2021,1,3,3.8297872340425534,10,10,0,0,0,47.0,207,50,20,20,6,22,4,3,0,46,8.808510638297872,4.212765957446808,2.09090909,1.148936170212766,0.22222222,0.10628019,0.11594203,0.27624309,1.5319148936170213,0.34108527,0.82840237,5.109044428074614,-1.2792571940320605
Evan Justice,NCSU,22.0,Evan Justice,30008,687145.0,2021,5,2,3.770949640307088,24,4,0,0,13,59.2,247,40,27,25,8,25,8,13,1,74,11.16201093530898,3.770949640307088,2.96,1.206703884898268,0.29959514,0.10121457,0.19838057,0.18691589,1.0893854516442698,0.24242424,0.74433657,4.561722420382629,-0.7907727800755411
Joe Rock,OHIO,20.0,Joe Rock,30016,697812.0,2021,8,3,2.3345865331258713,14,14,4,1,0,88.2,362,67,29,23,2,27,8,12,0,117,11.875940190248995,2.7406015823651533,4.33333333,0.2030075246196409,0.32320442,0.07458564,0.24861878,0.20489297,1.060150406347014,0.3125,0.7358871,3.0454220947709,-0.7108355616450286
Cade Povich,NEB,21.0,Cade Povich,30055,700249.0,2021,6,1,3.111111111111111,15,15,0,0,0,81.0,331,74,29,28,9,22,3,4,0,88,9.77777777777778,2.4444444444444446,4.0,1.0,0.26586103,0.06646526,0.19939577,0.24183007,1.1851851851851851,0.31100478,0.81018519,4.008657287079611,-0.8975461759685
David Festa,HALL,21.0,David Festa,30056,701581.0,2021,6,4,2.0,15,11,3,2,0,72.0,294,44,27,16,5,33,4,3,0,67,8.375,4.125,2.03030303,0.625,0.22789116,0.1122449,0.11564626,0.17120623,1.0694444444444444,0.21081081,0.72972973,4.264910252888998,-2.264910252888998
Chase Silseth,ARIZ,21.0,Chase Silseth,30074,681217.0,2021,8,1,5.547945060522391,18,18,0,0,0,97.1,447,112,73,60,6,29,13,13,0,105,9.708903855914183,2.68150677925249,3.62068966,0.5547945060522391,0.23489933,0.06487696,0.17002237,0.27654321,1.4486300991364025,0.36054422,0.55631868,3.6856984664092343,1.8622465941131563
Landen Roupp,UNCW,22.0,Landen Roupp,30076,694738.0,2021,8,5,2.584158415841584,16,15,2,2,0,101.0,408,69,40,29,8,42,8,7,0,118,10.514851485148515,3.742574257425743,2.80952381,0.7128712871287128,0.28921569,0.10294118,0.18627451,0.19273743,1.099009900990099,0.26293103,0.73283859,3.970913534825392,-1.3867551189838077
Carson Seymour,KSU,22.0,Carson Seymour,30084,693313.0,2021,3,4,6.19411750806657,14,10,0,0,0,56.2,262,58,42,39,7,32,6,14,0,57,9.052940973328065,5.082352827131545,1.78125,1.1117646809350257,0.21755725,0.1221374,0.09541985,0.25892857,1.5882352584786077,0.31875,0.62645012,5.293633800823384,0.9004837072431853
Ben Casparius,CONN,22.0,Ben Casparius,30085,676508.0,2021,8,5,4.025454657133752,15,15,1,1,0,91.2,385,68,43,41,7,36,10,7,2,127,12.46909125502406,3.5345455526052456,3.52777778,0.6872727463399089,0.32987013,0.09350649,0.23636364,0.20058997,1.1345454860214368,0.29756098,0.68138196,3.4088496392620495,0.6166050178717022
Jordan Wicks,KSU,21.0,Jordan Wicks,30094,696136.0,2021,6,3,3.70397101711532,15,15,0,0,0,92.1,394,90,40,38,9,28,0,5,0,118,11.5018047373581,2.729241802084973,4.21428571,0.8772562935273127,0.29949239,0.07106599,0.2284264,0.24590164,1.2779783041509,0.33891213,0.74003795,3.3086901225165457,0.3952808945987747
Mike Vasil,UVA,21.0,Mike Vasil,30105,678024.0,2021,7,5,4.518367487642482,17,16,0,0,0,81.2,365,101,52,41,13,18,5,4,0,73,8.044898209704908,1.9836735311601144,4.05555556,1.4326531058378602,0.2,0.04931507,0.15068493,0.29532164,1.4571429025188494,0.34375,0.6805293,4.766465377855282,-0.2480978902127999
Jack Neely,OSU,21.0,Jack Neely,30106,680891.0,2021,2,3,6.096774381107649,12,9,0,0,0,41.1,191,35,28,28,9,24,13,3,0,62,13.500000415309795,5.225806612377985,2.58333333,1.9596774796417444,0.32460733,0.12565445,0.19895288,0.22727273,1.427419398751394,0.31325301,0.74074074,6.327255532545555,-0.2304811514379059
Christian Scott,FLA,22.0,Christian Scott,30107,681035.0,2021,4,2,3.0,26,1,0,0,2,54.0,220,46,20,18,7,9,4,3,0,51,8.5,1.5,5.66666667,1.1666666666666667,0.23181818,0.04090909,0.19090909,0.22222222,1.0185185185185186,0.26174497,0.79268293,4.146988653253626,-1.1469886532536258
Gavin Williams,ECU,21.0,Gavin Williams,30122,668909.0,2021,10,1,1.8811474821638676,15,12,1,1,1,81.1,330,57,18,17,3,21,10,8,1,130,14.38524545184134,2.3237704191436013,6.19047619,0.3319672027348002,0.39393939,0.06363636,0.33030303,0.19063545,0.9590163634560892,0.3253012,0.8353222,2.2035010188922084,-0.3223535367283408
Brant Hurter,GT,22.0,Brant Hurter,30133,676428.0,2021,5,4,3.902343633701097,15,15,0,0,0,85.1,378,85,44,37,10,19,17,11,0,83,8.753905989113271,2.0039061902789417,4.36842105,1.054687468567864,0.21957672,0.05026455,0.16931217,0.24853801,1.2187499636784207,0.30120482,0.71962617,4.483684705384077,-0.5813410716829797
Tanner Bibee,CSUF,22.0,Tanner Bibee,30134,676440.0,2021,6,6,3.6133830021112434,16,14,1,1,0,89.2,376,84,42,36,4,21,10,7,1,67,6.724907253929259,2.107806751231559,3.19047619,0.4014870002345826,0.17819149,0.05585106,0.12234043,0.24347826,1.1710037506841993,0.2919708,0.66727605,4.161115094299787,-0.5477320921885438
Ty Madden,TEX,21.0,Ty Madden,30140,680744.0,2021,7,5,2.454545509462452,18,18,1,1,0,113.2,453,75,37,31,7,44,5,4,0,137,10.847507574075998,3.4838710456886415,3.11363636,0.554252211814102,0.30242826,0.09713024,0.20529801,0.18564356,1.0469208445377485,0.26153846,0.76182137,3.3710359343091785,-0.9164904248467268
Doug Nikhazy,MISS,21.0,Doug Nikhazy,30142,680951.0,2021,12,2,2.4456521739130435,16,15,1,1,0,92.0,372,62,30,25,11,31,6,3,0,142,13.891304347826088,3.032608695652174,4.58064516,1.076086956521739,0.38172043,0.08333333,0.2983871,0.18507463,1.0108695652173914,0.28021978,0.82535885,3.3023831782133684,-0.8567310043003249
Dylan Smith,ALA,21.0,Dylan Smith,30145,681916.0,2021,2,8,3.8440676971935286,16,16,1,0,0,98.1,404,99,42,42,14,20,1,6,0,113,10.342372613877826,1.8305084272350136,5.65,1.2813558990645095,0.27970297,0.04950495,0.23019802,0.25848564,1.2101694602275923,0.33203125,0.77689243,3.8216904687210262,0.0223772284725023
Jack Leiter,VAN,21.0,Jack Leiter,30146,683004.0,2021,11,4,2.127272727272727,18,18,2,1,0,110.0,430,48,30,26,14,45,11,4,1,179,14.645454545454545,3.6818181818181817,3.97777778,1.1454545454545455,0.41627907,0.10465116,0.31162791,0.12834225,0.8454545454545455,0.1878453,0.87677725,3.555742862007835,-1.4284701347351074
Mason Black,LEH,21.0,Mason Black,30171,696131.0,2021,7,3,3.1105989689770195,13,13,4,2,0,72.1,315,64,36,25,2,31,9,5,0,95,11.820276082112674,3.857142721531504,3.06451613,0.2488479175181615,0.3015873,0.0984127,0.2031746,0.23272727,1.3133640091236305,0.34831461,0.67193676,3.7006170816305457,-0.5900181126535262
Pierson Ohl,GCU,21.0,Pierson Ohl,30179,701487.0,2021,10,2,2.6013288377190564,16,15,7,3,0,100.1,388,79,30,29,12,12,5,2,0,103,9.239202423622856,1.0764119328492647,8.58333333,1.0764119328492647,0.26546392,0.03092784,0.23453608,0.21293801,0.9069767211970656,0.26171875,0.83333333,4.292841075251715,-1.6915122375326588
Travis Adams,SAC,21.0,Travis Adams,30180,701519.0,2021,6,3,4.310924231555707,14,14,2,0,0,79.1,328,82,38,38,13,16,4,3,1,72,8.168066965052919,1.8151259922339815,4.5,1.4747898686901102,0.2195122,0.04878049,0.17073171,0.26623377,1.2352940780481263,0.30941704,0.76372315,5.354302835178262,-1.0433786036225552
Will Warren,SELA,22.0,Will Warren,30182,701542.0,2021,7,2,2.5714285714285716,14,14,2,1,0,91.0,361,71,33,26,1,25,2,5,0,95,9.395604395604396,2.4725274725274726,3.8,0.0989010989010989,0.26315789,0.06925208,0.19390582,0.21257485,1.054945054945055,0.29411765,0.67287785,2.8144837704333625,-0.2430551990047909
Colton Gordon,UCF,22.0,Colton Gordon,31312,676467.0,2021,5,2,2.7650603045052287,9,9,1,0,0,55.1,241,54,21,17,6,13,5,3,0,72,11.71084364261038,2.114457879915763,5.53846154,0.9759036368841985,0.29875519,0.05394191,0.24481328,0.24215247,1.2108434013192833,0.33103448,0.80188679,3.5604039866236614,-0.7953436821184328
Gunnar Hoglund,MISS,21.0,Gunnar Hoglund,31318,680684.0,2021,4,2,2.8723403672494205,11,11,0,0,0,62.2,247,40,22,20,7,17,2,2,0,96,13.787233762797218,2.4414893121620076,5.64705882,1.005319128537297,0.38866397,0.06882591,0.31983806,0.1754386,0.9095744496289832,0.264,0.75203252,2.926342489407471,-0.0540021221580508
